y_true,y_pred,y_prob
0,1,0.6578736131982595
1,1,0.8943417141859593
0,0,0.2078717434243187
1,1,0.7784372816531141
0,0,0.31762444055527406
0,0,0.14945214934078643
1,1,0.6374385486909107
0,0,0.31500744698034333
1,1,0.8389349205364118
1,0,0.3323162581229311
0,0,0.47313590328582755
1,0,0.3914434065969848
0,0,0.2677689468808452
0,1,0.6408778890650649
1,1,0.8003412251034066
0,0,0.18820661938787872
0,0,0.2514869715484408
0,1,0.5726424087927852
0,1,0.7308917036328579
1,1,0.7700299659189579
0,0,0.44812910697397335
0,0,0.47838875444591383
1,1,0.8359861805980167
1,0,0.46436689125720043
0,0,0.2524776865263794
1,0,0.4056223663675255
0,0,0.42517968051124333
0,1,0.5104895998074138
1,1,0.8721129270660282
0,0,0.2969589968415409
1,0,0.49752030006358905
1,1,0.5192998811302801
0,0,0.41015344563073236
1,0,0.47648145615077503
0,0,0.4634419423060236
0,0,0.20095065766123388
1,1,0.7342775317609432
0,0,0.2713290345794178
0,0,0.0806547504784607
1,0,0.3702222716496591
0,0,0.24531564177855392
1,0,0.3748968184442668
1,1,0.6070239551612119
1,1,0.5946582225974475
0,0,0.18449730697533542
0,0,0.26349286144126505
1,1,0.7016511590294705
1,1,0.9093539297487369
0,0,0.36392928518774337
0,0,0.38895400953246206
0,0,0.12800895220055372
0,0,0.23669437924957445
1,1,0.5949286753750856
0,0,0.3806629141127036
1,1,0.7045538127311328
0,1,0.5367050831086622
1,1,0.8223073241420759
1,1,0.5566812858813751
0,0,0.49513312243282515
0,0,0.2855502113638646
1,1,0.626743456168435
1,1,0.6107417124562666
0,0,0.26924573928998685
0,1,0.5453438898616018
1,1,0.708019056506653
0,0,0.41450912614352814
0,0,0.3673537349210387
1,1,0.640015484918413
1,1,0.6562096926586402
1,1,0.5419474340807886
1,0,0.31543540885546867
0,0,0.4530773001505558
1,0,0.44067974109183694
1,1,0.7207954551459387
0,0,0.2535885227017473
0,0,0.39000480531771625
1,1,0.5883268965654731
0,1,0.5311784612722161
0,0,0.2906389208244144
0,0,0.3412847667204446
1,1,0.5914602150063848
1,1,0.7463752296785513
1,1,0.6699607186322605
1,0,0.4885228450065952
1,1,0.786672468739407
0,0,0.3905177765800372
1,1,0.7407424686092127
1,1,0.6739515365920438
0,0,0.2095956486199303
0,0,0.19564272356128035
1,1,0.7625453044151518
1,1,0.6194538712954323
1,0,0.40545335434126095
0,0,0.21391095067031865
1,1,0.5591603548113669
1,1,0.5464628491384906
1,1,0.7628590564973365
1,1,0.5667215333099517
0,0,0.3513355445111222
1,1,0.6690815625736235
1,1,0.6565877413967354
1,0,0.36363525506692845
0,0,0.2492190068942957
1,1,0.7922200735993962
1,1,0.5948995836575465
1,1,0.5097049233779694
1,1,0.6380518236992234
0,0,0.419935627405167
0,0,0.34357072180630605
1,1,0.6796932833571488
1,1,0.577171410322205
0,0,0.45748797393220153
1,1,0.8364062892216537
1,1,0.6459542591837323
1,0,0.29600609804927847
0,1,0.6014924829257535
1,1,0.8771863718675468
1,1,0.5174629486523955
1,0,0.3397502643999737
1,1,0.6833129061508327
1,0,0.38027137523629895
0,0,0.3248618502683037
0,0,0.4189087530230142
1,1,0.7607511149815238
1,0,0.3412092336543648
0,0,0.30874784700686225
0,0,0.42141021051905286
0,0,0.43848126759020156
0,0,0.27056846997876055
0,0,0.11767588587464645
0,0,0.0870656572557563
0,0,0.29813684527606066
1,1,0.5520526315898919
0,0,0.45432275102658753
0,1,0.6087363694469503
1,0,0.3406129162502695
0,0,0.20033989548680392
1,1,0.7109059832294335
0,0,0.24924936234922787
1,1,0.5656861330049908
1,0,0.36591310215152634
1,1,0.8509645370360652
0,0,0.15726308899238492
0,0,0.38120038425156694
0,0,0.19967511091019388
0,0,0.3635714451662442
1,0,0.44547395411910845
1,1,0.927526541820859
0,0,0.23053585288623907
0,1,0.6589406919713336
0,0,0.324684031323094
0,0,0.480109634412317
0,0,0.14240274252999516
0,0,0.4527326964471568
0,0,0.23322533245255148
0,0,0.47189540224166127
0,0,0.33584944695364904
1,0,0.3737277573213351
0,0,0.3104252776297768
0,0,0.34552444115366304
0,0,0.4267945518805563
1,1,0.6864888163712044
0,0,0.3715735514852788
1,1,0.5446244074938779
1,1,0.8871467199101684
0,0,0.18049631880898662
0,0,0.34635407218877245
1,1,0.7969039326973705
1,0,0.3854382252464907
0,0,0.39116236050227987
0,0,0.285854171691523
0,0,0.43610637136615776
1,1,0.8076121273125909
1,1,0.5209321879013197
1,0,0.471279942170731
1,1,0.7339220452407457
0,0,0.43891663047285223
1,1,0.8221606495965532
0,0,0.4549266522195474
1,1,0.7272656869222325
1,1,0.5199264510706749
0,0,0.3107769020249671
1,1,0.8407801690136031
1,1,0.7113472996736113
0,0,0.06428623863091158
1,0,0.3133886392841328
0,0,0.4780620739248451
0,0,0.2610027600843691
0,0,0.44847743855698
1,1,0.7724437739518165
0,0,0.4172097036543436
1,1,0.8667009693509597
1,1,0.7119593564128909
0,1,0.5174691402454861
1,0,0.1627947090243377
0,0,0.3605548369656124
1,0,0.1172853943081839
1,1,0.6232075261038265
0,0,0.13519819061566501
1,0,0.4569712826742214
0,0,0.14424629109198778
0,0,0.3000230818852406
0,0,0.18641114753599838
1,1,0.8134197375685971
1,1,0.5610232978424247
